shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_537_1,24.79661,125.27237,420002
shapes_537_1,24.79623,125.27188,420003
shapes_537_1,24.7959,125.2715,420004
shapes_537_1,24.7954,125.27099,420005
shapes_537_1,24.79513,125.27072,420006
shapes_537_1,24.79473,125.27042,420007
shapes_537_1,24.79455,125.2703,420008
shapes_537_1,24.79405,125.27001,420009
shapes_537_1,24.79405,125.27001,430001
shapes_537_1,24.79382,125.26988,430002
shapes_537_1,24.79341,125.26971,430003
shapes_537_1,24.79308,125.26953,430004
shapes_537_1,24.79261,125.26911,430005
shapes_537_1,24.79256,125.26906,430006
shapes_537_1,24.79242,125.2689,430007
shapes_537_1,24.79224,125.26856,430008
shapes_537_1,24.79209,125.26821,430009
shapes_537_1,24.79204,125.26808,430010
shapes_537_1,24.79204,125.26808,440001
shapes_537_1,24.79185,125.2676,440002
shapes_537_1,24.79155,125.26693,440003
shapes_537_1,24.79142,125.26657,440004
shapes_537_1,24.79137,125.26639,440005
shapes_537_1,24.79131,125.26617,440006
shapes_537_1,24.79129,125.26586,440007
shapes_537_1,24.79127,125.26559,440008
shapes_537_1,24.79127,125.26533,440009
shapes_537_1,24.79128,125.26514,440010
shapes_537_1,24.7913,125.26498,440011
shapes_537_1,24.79135,125.2647,440012
shapes_537_1,24.79142,125.26443,440013
shapes_537_1,24.79153,125.26409,440014
shapes_537_1,24.79172,125.26364,440015
shapes_537_1,24.7922,125.26271,440016
shapes_537_1,24.7926,125.26186,440017
shapes_537_1,24.79287,125.26135,440018
shapes_537_1,24.79305,125.26103,440019
shapes_537_1,24.79326,125.26071,440020
shapes_537_1,24.79349,125.26047,440021
shapes_537_1,24.79364,125.26033,440022
shapes_537_1,24.79384,125.26015,440023
shapes_537_1,24.79424,125.25982,440024
shapes_537_1,24.79442,125.25962,440025
shapes_537_1,24.79449,125.25952,440026
shapes_537_1,24.79457,125.25937,440027
shapes_537_1,24.79464,125.25922,440028
shapes_537_1,24.79501,125.2577,440029
shapes_537_1,24.79505,125.25753,440030
shapes_537_1,24.79508,125.25734,440031
shapes_537_1,24.79508,125.25717,440032
shapes_537_1,24.79508,125.25692,440033
shapes_537_1,24.79506,125.2567,440034
shapes_537_1,24.79485,125.25448,440035
shapes_537_1,24.79482,125.25393,440036
shapes_537_1,24.79481,125.25336,440037
shapes_537_1,24.79482,125.25235,440038
shapes_537_1,24.79484,125.25166,440039
shapes_537_1,24.79491,125.25083,440040
shapes_537_1,24.79496,125.2503,440041
shapes_537_1,24.79546,125.24533,440042
shapes_537_1,24.79558,125.24445,440043
shapes_537_1,24.79571,125.24357,440044
shapes_537_1,24.79587,125.24268,440045
shapes_537_1,24.79606,125.24181,440046
shapes_537_1,24.79627,125.24095,440047
shapes_537_1,24.79651,125.2401,440048
shapes_537_1,24.79676,125.23925,440049
shapes_537_1,24.79705,125.23838,440050
shapes_537_1,24.79735,125.23756,440051
shapes_537_1,24.79767,125.23675,440052
shapes_537_1,24.79802,125.23593,440053
shapes_537_1,24.79838,125.23515,440054
